State,District,Village Name,Site Name,Latitude,Longitude,pH Level,Landuse,Soil Type,Drainage,Date,Soil Depth (m),Soil Porosity,Organic Matter,POPULATION_DENSITY(people/sq km),Humidity (%),Avg. Tidal Height (metres),Avg. Wind Speed (km/h),Avg. Temperature (°C),Soil Moisture (%),Avg. Surface Elevation (meters above sea level),GW level(mbgl),Rainfall,Permeability Value (Qualitative),Permeability Value (Numeric),datetime,dayofyear,weekofyear,quarter,predicted_gw_level
West Bengal,Alipurduar,Alipurduar,Alipurduar,26.49722,89.52406,6.8,Forest,Loose Silt,Low,01-01-2023,0.01,0.318507704,2.331036279,539,43.86949036,0.835575589,12.1709827,13.57161396,10.59717749,233.8018242,7.496586802,6.877139368,Low,0.689851451,2023-01-01,1,52,1,5.477591744419999
West Bengal,Alipurduar,Gharagharia,Gharagharia,26.46679,89.42959,6.8,Agricultural,Dense Silt,High,01-01-2023,0.01,0.471741873,2.09818203,539,46.79534473,0.57825699,10.97970655,13.25139094,17.51775399,468.205072,6.406156191,3.197408652,Very low,0.154671944,2023-01-01,1,52,1,5.867460367019999
West Bengal,Alipurduar,"Bhatibari (Simultala,","Bhatibari (Simultala,",26.43222,89.61417,6.8,Urban,Loose Silt,Low,01-01-2023,0.1,0.358686971,3.907750697,539,54.01115717,0.722262307,19.52118156,16.85893858,10.78976138,284.3768263,7.842102982,8.962526493,Very low,0.176833616,2023-01-01,1,52,1,7.132008031200013
West Bengal,Alipurduar,Salsalabari,Salsalabari,26.48764,89.59029,6.8,Agricultural,Loose Silt,Moderate,01-01-2023,10.0,0.316052728,4.587224251,539,50.06826514,0.566405879,18.03135344,12.9773668,12.22415271,468.0129927,3.420478462,6.326964175,High,0.427068987,2023-01-01,1,52,1,4.030525977760002
West Bengal,Alipurduar,Bengkandi,Bengkandi,26.63399,89.14578,6.8,Rural,Dense Sand,High,01-01-2023,1.0,0.469213393,1.07841729,539,59.39993805,0.902166864,5.410254846,18.6701143,15.58254113,8.818323856,7.975360293,6.321426333,Low,0.661721155,2023-01-01,1,52,1,7.544406405079996
West Bengal,Alipurduar,Falakata,Falakata,26.51474,89.19953,6.8,Agricultural,Dense Sand,Low,01-01-2023,10.0,0.471408922,2.127222398,539,44.51869309,0.823601519,10.12188098,18.83352812,17.47983816,46.93162914,1.40019366,4.21899466,High,0.477458373,2023-01-01,1,52,1,6.286776711590001
West Bengal,Alipurduar,Jateswar,Jateswar,26.61531,89.14734,6.8,Urban,Loose Sand,Low,01-01-2023,0.1,0.444917182,3.250434032,539,43.04149779,0.992371475,14.31487605,17.92651904,10.90948834,202.64308,3.773112854,7.373649897,Medium,0.294991102,2023-01-01,1,52,1,4.172031690959996
West Bengal,Alipurduar,Dabri,Dabri,26.68818,89.40527,6.8,Forest,Loose Clay,Low,01-01-2023,0.1,0.475037935,0.966878912,539,43.39425164,0.594595183,8.218933022,18.04727943,14.55305315,10.22666746,9.861126396,5.576731744,Medium,0.501892665,2023-01-01,1,52,1,7.895838375700002
West Bengal,Alipurduar,Hasimara,HASIMARA,26.72475,89.34975,6.8,Urban,Dense Clay,Low,01-01-2023,10.0,0.354144433,1.062040518,539,53.99419572,0.85202322,17.73347409,17.21652875,13.92834554,496.0428959,5.185739051,4.805481301,High,0.865010564,2023-01-01,1,52,1,5.302018785669998
West Bengal,Alipurduar,Jaigaon,Jaigaon,26.83947,89.38029,6.8,Rural,Dense Silt,High,01-01-2023,0.01,0.438329205,4.058245871,539,50.54338897,0.964312299,14.69416233,19.80036026,16.49354987,220.3713715,0.728773911,0.567941301,Medium,0.853554738,2023-01-01,1,52,1,2.5327415370099975
West Bengal,Alipurduar,Millpara Pampu Basti,Millpara Pampu Basti,26.60951,89.52908,6.8,Agricultural,Dense Silt,Moderate,01-01-2023,0.01,0.323286991,4.797683563,539,48.32661889,0.518308283,10.29848167,13.6928499,17.75663796,239.7690465,0.724937832,1.354224213,Low,0.370497435,2023-01-01,1,52,1,5.820270493600001
West Bengal,Alipurduar,Raja Bhat Khawa,Raja Bhat Khawa,26.61464,89.53039,6.8,Urban,Loose Sand,Moderate,01-01-2023,1.0,0.416353676,3.530116205,539,58.41427846,0.80791728,13.37096258,12.24504785,19.74774991,496.6202257,2.301263515,1.85153724,Very low,0.595345715,2023-01-01,1,52,1,5.386242854390003
West Bengal,Alipurduar,Barovisa More,Barovisa More,26.4731,89.79895,6.8,Rural,Dense Silt,Low,01-01-2023,1.0,0.463043089,3.863284396,539,40.79346288,0.955249838,18.15824226,16.94853488,10.21223915,229.9034612,6.056569855,7.613271214,Very low,0.525227899,2023-01-01,1,52,1,5.489948428790008
West Bengal,Alipurduar,Ghoksapara,Ghoksapara,26.53445,89.82036,6.8,Forest,Dense Silt,High,01-01-2023,0.1,0.372417663,4.163801444,539,43.15912986,0.605066076,17.68942674,12.22890705,16.82188974,12.94768229,1.659051942,1.351208539,Low,0.841609105,2023-01-01,1,52,1,3.22340182967
West Bengal,Alipurduar,Ghoramara,Ghoramara,26.54847,89.82097,6.8,Agricultural,Dense Silt,Low,01-01-2023,0.1,0.375764731,1.508497612,539,41.81040371,0.508962543,6.586892825,12.88613163,18.22785328,207.0272008,9.308444752,9.716921205,Medium,0.19657001,2023-01-01,1,52,1,7.7823198054300065
West Bengal,Alipurduar,Hemaguri,Hemaguri,26.5603,89.82348,6.8,Forest,Dense Silt,Low,01-01-2023,10.0,0.368827757,1.291501318,539,54.40567026,0.838197813,9.397475519,13.01543247,19.98464328,280.3290144,3.730411027,0.930749585,Very low,0.228500203,2023-01-01,1,52,1,4.386954277540001
West Bengal,Alipurduar,Kamekshaguri,Kamekshaguri,26.46125,89.72002,6.8,Rural,Dense Sand,High,01-01-2023,10.0,0.390105782,1.013000353,539,43.89947069,0.595186621,17.93805176,11.09318699,14.21468987,453.16186,4.034447554,9.103104507,Low,0.673130252,2023-01-01,1,52,1,4.959241232210001
West Bengal,Alipurduar,Kumargram,Kumargram,26.61593,89.82878,6.8,Urban,Loose Sand,High,01-01-2023,1.0,0.497037355,1.351310348,539,49.94910304,0.943501943,17.35412981,13.27373669,10.13153264,265.1242542,8.719395804,5.245061468,High,0.275149076,2023-01-01,1,52,1,5.830876846529998
West Bengal,Alipurduar,Madhya Kamekshaguri,Madhya,26.45147,89.71938,6.8,Agricultural,Dense Silt,High,01-01-2023,10.0,0.355924512,2.062639289,539,50.45749662,0.885542276,10.78887817,13.6727966,16.40772769,322.7529076,4.811132701,1.536935138,High,0.204800011,2023-01-01,1,52,1,5.044284264820004
West Bengal,Alipurduar,Telipara,Telipara,26.47607,89.76711,6.8,Rural,Loose Clay,Low,01-01-2023,1.0,0.474386344,2.612079965,539,40.56576986,0.50175715,8.647293341,13.83881637,17.67203049,162.5309854,5.782003984,4.27556825,Medium,0.842086588,2023-01-01,1,52,1,5.754813825630005
West Bengal,Alipurduar,Madarihat,Madarihat,26.69452,89.26176,6.8,Rural,Loose Silt,Moderate,01-01-2023,1.0,0.352854414,4.880094912,539,43.9333245,0.714272019,19.41865421,14.59023655,14.6277696,30.87795844,8.114488664,9.298539496,Very low,0.496871032,2023-01-01,1,52,1,6.487568533619999
West Bengal,Alipurduar,Madhya Ragali Bajna,Madhya Ragali Bajna,26.684,89.216,6.8,Urban,Loose Sand,Moderate,01-01-2023,10.0,0.371041787,1.398049451,539,50.08854182,0.712531402,10.63096583,11.34932584,16.04429631,441.0318772,7.020520124,4.345613531,Very low,0.410724961,2023-01-01,1,52,1,6.381186903969989
West Bengal,Alipurduar,Uttar Shishubari,UTTAR SHISHUBARI,26.68852,89.17064,6.8,Rural,Dense Sand,High,01-01-2023,0.01,0.384646418,1.525701101,539,54.90725224,0.981774853,18.98699882,10.57516105,10.36049486,329.6855391,7.144069092,6.534764769,Low,0.391722395,2023-01-01,1,52,1,6.273103830189998
West Bengal,Darjeeling,Batasi,Batasi,26.60235,88.1795,6.5,Rural,Dense Clay,Moderate,01-01-2023,0.01,0.302279688,3.374766229,586,44.92366557,0.682374459,5.455340456,17.07662119,18.50259684,214.5825735,4.829116921,7.058033963,High,0.458484349,2023-01-01,1,52,1,5.21269425152
West Bengal,Darjeeling,Chakkar Mari,Chakkar Mari,26.52382,88.14377,6.5,Urban,Dense Sand,Moderate,01-01-2023,0.1,0.460803282,1.16015915,586,42.69618447,0.878387206,14.20934954,14.9876884,16.74785013,362.8077705,6.054420913,0.603280168,Low,0.860000288,2023-01-01,1,52,1,5.560325354989996
West Bengal,Darjeeling,Demra Vita,Demra Vita,26.57512,88.17504,6.5,Rural,Dense Clay,High,01-01-2023,0.1,0.369933218,4.132169297,586,57.20188779,0.880820285,7.668014433,17.09362823,12.37913194,159.6025705,9.309616022,1.775685006,Very low,0.560176815,2023-01-01,1,52,1,7.589895067820001
West Bengal,Darjeeling,Dulaljote,Dulaljote,26.6282,88.17156,6.5,Urban,Loose Sand,High,01-01-2023,1.0,0.340233558,3.440979331,586,42.66921157,0.518339751,15.11458659,18.22275059,11.13169794,276.0563538,8.076911182,1.48435831,Very low,0.403852921,2023-01-01,1,52,1,4.779922938159998
West Bengal,Darjeeling,Galgalia,Galgalia,26.52656,88.14424,6.5,Rural,Dense Clay,Low,01-01-2023,1.0,0.499924773,4.874740942,586,58.91345768,0.656963811,12.10871794,12.47595714,10.94327736,140.4171845,5.903439965,9.530566351,High,0.549891666,2023-01-01,1,52,1,6.07723419058
West Bengal,Darjeeling,Gurudayal Jote,Gurudayal Jote,26.5506,88.17784,6.5,Rural,Dense Sand,Low,01-01-2023,1.0,0.497079193,4.299104437,586,54.3644082,0.502467737,16.69017717,19.96993755,13.55205581,186.5580064,5.367166437,5.382482721,High,0.349123622,2023-01-01,1,52,1,6.039366779869997
West Bengal,Darjeeling,Kadamani,Kadamani,26.55955,88.12047,6.5,Forest,Dense Sand,Moderate,01-01-2023,0.01,0.478260516,2.34945437,586,56.78338174,0.836000623,16.49864616,18.09286115,17.17534045,194.1941938,7.325197293,3.11897022,Medium,0.79264689,2023-01-01,1,52,1,6.41362775861999
West Bengal,Darjeeling,Kharibari,Kharibari,26.55574,88.19235,6.5,Agricultural,Loose Silt,Low,01-01-2023,10.0,0.457500427,4.30828965,586,48.85364955,0.637972985,6.363248414,18.70473487,16.23502281,100.4928963,0.674820325,1.409612412,High,0.333553221,2023-01-01,1,52,1,1.9127975934100037
West Bengal,Darjeeling,Kharibari,Kharibari,26.55481,88.19081,6.5,Agricultural,Loose Silt,Low,01-01-2023,0.1,0.359901003,4.155297237,586,40.32551842,0.648300803,6.855270572,17.46434711,16.71686393,437.7605235,2.31165292,2.390780703,Very low,0.762021365,2023-01-01,1,52,1,3.2596717147400063
West Bengal,Darjeeling,Kochaiyote,Kochaiyote,26.54792,88.16618,6.5,Forest,Loose Silt,Low,01-01-2023,1.0,0.354865354,3.391908001,586,58.58512639,0.955187076,16.62973395,19.85329979,18.80447439,377.8847908,2.59136978,7.393031429,Medium,0.653711618,2023-01-01,1,52,1,3.637557121909996
West Bengal,Darjeeling,Sonachandi,Sonachandi,26.56946,88.23416,6.5,Urban,Dense Sand,Low,01-01-2023,0.01,0.387092812,2.827902323,586,53.63920209,0.740455478,8.635835003,10.85224152,16.66209354,391.7992899,7.449481265,2.517690326,High,0.141847468,2023-01-01,1,52,1,6.247843163269998
West Bengal,Darjeeling,Sevoke,Sevoke,26.88066,88.47256,6.5,Forest,Loose Clay,Low,01-01-2023,10.0,0.349813313,4.868677487,586,45.27806127,0.525307957,19.34393378,14.90160532,11.40815005,493.7799471,9.063372401,5.819591939,Very low,0.290403344,2023-01-01,1,52,1,7.980039288800004
West Bengal,Darjeeling,Sukna,Sukna,26.79109,88.36259,6.5,Agricultural,Loose Clay,High,01-01-2023,1.0,0.338736279,0.776034122,586,44.22150507,0.540041722,12.45340171,12.98841862,16.80589955,243.3104294,6.982127802,7.655766631,Medium,0.359872246,2023-01-01,1,52,1,6.2660376932099995
West Bengal,Darjeeling,Matigara,Matigara,26.7203,88.3831,6.5,Forest,Loose Clay,High,01-01-2023,1.0,0.338098964,0.565687829,586,43.94565879,0.84067067,17.04396427,10.89164358,17.51192831,154.2338954,7.074536136,0.218176538,Very low,0.445826479,2023-01-01,1,52,1,6.320727579880003
West Bengal,Darjeeling,Methibari,Methibari,26.76759,88.38245,6.5,Agricultural,Loose Silt,Moderate,01-01-2023,0.01,0.383751625,1.947691017,586,42.05672026,0.867019038,16.75913682,19.23621307,17.46439574,470.2445155,7.04088977,2.856729816,Very low,0.183896896,2023-01-01,1,52,1,6.41426840197
West Bengal,Darjeeling,Bagdogra,Bagdogra,26.70207,88.33373,6.5,Agricultural,Loose Sand,High,01-01-2023,1.0,0.475213447,4.213542283,586,59.76683371,0.63678118,8.089010675,18.10065687,10.812335,97.43474218,1.936745127,4.926331346,Medium,0.674260355,2023-01-01,1,52,1,2.8399075918799968
West Bengal,Darjeeling,Bagdogra,Bagdogra,26.69743,88.31733,6.5,Agricultural,Loose Sand,High,01-01-2023,0.01,0.372482989,0.849754251,586,52.84629411,0.912445319,19.71582566,10.7690375,12.97430286,441.8208729,3.097842716,6.212723633,Medium,0.166742061,2023-01-01,1,52,1,4.008837505920002
West Bengal,Darjeeling,Jabra More,Jabra More,26.74041,88.22175,6.5,Agricultural,Dense Sand,Low,01-01-2023,0.1,0.362486404,1.01554681,586,44.0302205,0.877674985,11.62711996,18.46550997,13.68495418,103.718642,0.605312113,7.972654679,Low,0.941928728,2023-01-01,1,52,1,2.706535065579997
West Bengal,Darjeeling,Kamalpur,Kamalpur,26.712,88.30755,6.5,Agricultural,Dense Clay,High,01-01-2023,10.0,0.394862893,2.168311578,586,45.69208503,0.553924229,15.29442355,12.76858229,15.94068808,77.35755821,6.621033652,7.703240002,Low,0.814586946,2023-01-01,1,52,1,6.091804994810004
West Bengal,Darjeeling,Lalpur,Lalpur,26.70542,88.21319,6.5,Rural,Loose Sand,High,01-01-2023,0.01,0.388017628,3.33590475,586,40.20929108,0.785952106,13.97506692,13.77672594,17.72650496,455.5569155,4.315909557,8.211750469,Medium,0.596319827,2023-01-01,1,52,1,5.2079632599900005
West Bengal,Darjeeling,Naxalbari,Naxalbari,26.68483,88.20224,6.5,Forest,Dense Silt,Low,01-01-2023,0.01,0.309778643,3.700434311,586,44.86918361,0.57178343,10.20932056,14.23243388,15.35486652,193.314548,6.062258362,6.35086468,Very low,0.187067522,2023-01-01,1,52,1,6.041220140230003
West Bengal,Darjeeling,Panighata,Panighata,26.75626,88.24007,6.5,Urban,Dense Sand,Moderate,01-01-2023,10.0,0.466672189,3.794659913,586,49.52266088,0.598939281,5.04272153,16.18992155,12.77876156,370.4865226,3.674209505,9.856266894,Very low,0.365647181,2023-01-01,1,52,1,4.389024567700004
West Bengal,Darjeeling,Prasadiyote,Prasadiyote,26.6561,88.18168,6.5,Forest,Dense Sand,Low,01-01-2023,0.01,0.441832173,2.582083955,586,42.0062132,0.587933441,12.16726732,18.1719156,16.669124,190.3805322,5.6015299,9.883235786,Medium,0.213015114,2023-01-01,1,52,1,5.568020683219998
West Bengal,Darjeeling,Prasadjyote,Prasadjyote,26.65758,88.18225,6.5,Forest,Dense Sand,Low,01-01-2023,10.0,0.457810889,1.083514464,586,45.41224642,0.710872698,6.130424092,12.52996139,15.68062411,82.94110993,0.99737061,2.708229187,Very low,0.999976579,2023-01-01,1,52,1,2.6606115250799984
West Bengal,Darjeeling,Trihana,Trihana,26.76737,88.26017,6.5,Urban,Loose Silt,High,01-01-2023,1.0,0.431711711,2.823423629,586,58.86642727,0.58973285,15.06514524,12.40555823,15.99730565,150.1571329,0.520962575,7.630308847,High,0.438546033,2023-01-01,1,52,1,2.110585143499999
West Bengal,Darjeeling,Ambarimore,Ambarimore,26.57363,88.27923,6.5,Forest,Loose Sand,High,01-01-2023,10.0,0.394421939,3.66766496,586,47.62473827,0.602970017,6.79056326,18.95248875,18.49282078,75.04347481,2.984662514,4.833915763,Very low,0.152661245,2023-01-01,1,52,1,3.714459999809999
West Bengal,Darjeeling,Gayaganga Kanthi Vita,Gayaganga Kanthi,26.58814,88.31997,6.5,Forest,Dense Clay,Moderate,01-01-2023,10.0,0.478844425,1.780036958,586,51.41032183,0.786273412,5.184982406,19.80500231,18.43792997,76.65362278,3.637275409,3.767629334,High,0.200383319,2023-01-01,1,52,1,4.228220798709997
West Bengal,Darjeeling,Ghosh Pukur,Ghosh Pukur,26.58938,88.27717,6.5,Urban,Dense Sand,Low,01-01-2023,1.0,0.366418629,3.158891906,586,49.84558015,0.882861463,19.45078658,19.31274003,11.41550771,251.2823297,6.834883227,8.494503507,High,0.841589783,2023-01-01,1,52,1,6.085305836539992
West Bengal,Darjeeling,Leusi Pakuri,Leusi Pakuri,26.63131,88.37584,6.5,Urban,Loose Clay,High,01-01-2023,0.1,0.31505644,0.785752814,586,42.90049643,0.95821466,15.40386887,19.31926922,16.29955786,3.069709061,7.861992625,1.000935419,Very low,0.831509787,2023-01-01,1,52,1,6.954019613170001
West Bengal,Darjeeling,Madati,Madati,26.54647,88.25716,6.5,Rural,Loose Clay,High,01-01-2023,1.0,0.433808285,1.459987115,586,56.59229691,0.822208397,9.532448942,16.90429214,18.68904622,137.2172784,3.937477022,6.374785033,Medium,0.811552758,2023-01-01,1,52,1,4.122214884509998
West Bengal,Darjeeling,Phansidewa,Phansidewa,26.58867,88.36565,6.5,Agricultural,Loose Clay,High,01-01-2023,1.0,0.375703398,4.481913693,586,42.05230465,0.76307297,16.21198977,10.30912865,11.80319253,255.213739,1.172549174,7.986455848,Very low,0.893122522,2023-01-01,1,52,1,2.6129174920000025
